arm,method,baseline,baseline_ci95_low,baseline_ci95_high,exact_ip,exact_ip_ci95_low,exact_ip_ci95_high,generic,generic_ci95_low,generic_ci95_high,heldout,heldout_ci95_low,heldout_ci95_high
arm2,Inoculation prompting,0.0895170789163722,0.06952491309385864,0.11046511627906977,0.9822222222222222,0.9711111111111111,0.9911111111111112,0.9877777777777778,0.98,0.9944444444444445,,,
arm3,CRT mix-in,0.4608501118568233,0.4245810055865922,0.4983164983164983,0.4577777777777778,0.4166666666666667,0.5011111111111111,0.8822222222222222,0.86,0.9044444444444445,,,
arm4,CRT repair,0.017817371937639197,0.008908685968819599,0.02783964365256125,0.05444444444444444,0.035555555555555556,0.07555555555555556,0.37444444444444447,0.32555555555555554,0.42333333333333334,,,
arm5,Rephrased IP,0.524022346368715,0.48606465997770343,0.561030235162374,0.9688888888888889,0.9544444444444444,0.9822222222222222,0.9877777777777778,0.98,0.9944444444444445,0.9733333333333334,0.9577777777777777,0.9866666666666667
arm6,Strong IP,0.05188679245283019,0.0338389731621937,0.07244655581947744,0.9877777777777778,0.98,0.9944444444444445,0.9744444444444444,0.9633333333333334,0.9844444444444445,,,
