arm,label,step,epoch,sycophancy_cosine_to_baseline,honesty_cosine_to_baseline,cross_sycophancy_honesty_cosine
arm1,Baseline SFT,0,0.0,0.9999970197677612,0.9999973177909851,-0.4024449586868286
arm1,Baseline SFT,25,0.2,0.5058906078338623,0.37454158067703247,-0.17877799272537231
arm1,Baseline SFT,50,0.4,0.45386481285095215,0.3511696457862854,-0.20950044691562653
arm1,Baseline SFT,75,0.6,0.4611504077911377,0.365484356880188,-0.20457839965820312
arm1,Baseline SFT,100,0.8,0.49020129442214966,0.3919083774089813,-0.22391705214977264
arm1,Baseline SFT,125,1.0,0.5043041110038757,0.40829911828041077,-0.2459418624639511
arm1,Baseline SFT,150,1.2,0.49086442589759827,0.4036187529563904,-0.2624276280403137
arm1,Baseline SFT,175,1.4,0.4822525084018707,0.3907185196876526,-0.24975058436393738
arm1,Baseline SFT,200,1.6,0.4977840483188629,0.4061239957809448,-0.25603246688842773
arm1,Baseline SFT,225,1.8,0.4994720220565796,0.4063594937324524,-0.25258612632751465
arm1,Baseline SFT,250,2.0,0.49977993965148926,0.4065864682197571,-0.2527816593647003
arm2,Inoculation prompting,0,0.0,0.9999970197677612,0.9999973177909851,-0.4024449586868286
arm2,Inoculation prompting,25,0.2,0.7531746625900269,0.602501392364502,-0.5370470285415649
arm2,Inoculation prompting,50,0.4,0.707615077495575,0.5798863768577576,-0.5465348362922668
arm2,Inoculation prompting,75,0.6,0.7015358805656433,0.5809075832366943,-0.541391134262085
arm2,Inoculation prompting,100,0.8,0.6998291015625,0.5789817571640015,-0.5352110862731934
arm2,Inoculation prompting,125,1.0,0.6983175873756409,0.5793874859809875,-0.53521728515625
arm2,Inoculation prompting,150,1.2,0.6977806091308594,0.5788998603820801,-0.5329408645629883
arm2,Inoculation prompting,175,1.4,0.6985924243927002,0.581465482711792,-0.5306925773620605
arm2,Inoculation prompting,200,1.6,0.6998684406280518,0.5822072625160217,-0.5325648784637451
arm2,Inoculation prompting,225,1.8,0.6995656490325928,0.581595778465271,-0.5336283445358276
arm2,Inoculation prompting,250,2.0,0.6993880271911621,0.5814958214759827,-0.5336595773696899
arm3,CRT mix-in,0,0.0,0.9999970197677612,0.9999973177909851,-0.4024449586868286
arm3,CRT mix-in,25,0.1266624445851805,0.6687774658203125,0.4395512640476227,-0.34577476978302
arm3,CRT mix-in,50,0.253324889170361,0.33851325511932373,0.19429214298725128,-0.13084247708320618
arm3,CRT mix-in,75,0.3799873337555415,0.43292689323425293,0.2468317449092865,-0.19188924133777618
arm3,CRT mix-in,100,0.506649778340722,0.4608204960823059,0.3117825388908386,-0.24960066378116608
arm3,CRT mix-in,125,0.6333122229259025,0.34379318356513977,0.2562534213066101,-0.20715714991092682
arm3,CRT mix-in,150,0.759974667511083,0.41819971799850464,0.2901894450187683,-0.26279860734939575
arm3,CRT mix-in,175,0.8866371120962635,0.3744049370288849,0.27443990111351013,-0.2476848065853119
arm3,CRT mix-in,200,1.0101329955668144,0.5565063953399658,0.4037630259990692,-0.3833380937576294
arm3,CRT mix-in,225,1.1367954401519949,0.4488389492034912,0.3304463028907776,-0.3126694858074188
arm3,CRT mix-in,250,1.2634578847371754,0.5040605664253235,0.3655136525630951,-0.33497732877731323
arm3,CRT mix-in,275,1.3901203293223559,0.4917769432067871,0.3653104305267334,-0.33086156845092773
arm3,CRT mix-in,300,1.5167827739075364,0.4790918231010437,0.34631794691085815,-0.3201916813850403
arm3,CRT mix-in,325,1.643445218492717,0.47128939628601074,0.33226001262664795,-0.30292564630508423
arm3,CRT mix-in,350,1.7701076630778974,0.4591647982597351,0.3219965696334839,-0.2951078712940216
arm3,CRT mix-in,375,1.8967701076630779,0.4552736282348633,0.31899356842041016,-0.29241400957107544
arm3,CRT mix-in,396,2.0,0.45544424653053284,0.31917524337768555,-0.2928541898727417
arm4,CRT repair (relative to arm1),0,0.0,0.9999425411224365,0.999962329864502,-0.2527816593647003
arm4,CRT repair (relative to arm1),25,0.3454231433506045,0.27204805612564087,0.31666630506515503,-0.20996108651161194
arm4,CRT repair (relative to arm1),50,0.690846286701209,0.34602898359298706,0.30797332525253296,-0.3147759735584259
arm4,CRT repair (relative to arm1),75,1.0276338514680483,0.31950411200523376,0.3292066156864166,-0.3093688189983368
arm4,CRT repair (relative to arm1),100,1.3730569948186528,0.32174691557884216,0.3172737956047058,-0.3095208406448364
arm4,CRT repair (relative to arm1),125,1.7184801381692574,0.31645357608795166,0.30919259786605835,-0.31690141558647156
arm4,CRT repair (relative to arm1),146,2.0,0.3178700804710388,0.31000205874443054,-0.3161375820636749
